"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"33","4-14-70-16-NW",0,0,0,0,1.07758932048,0,0,0,16.1285086512363,0,0,0.870878072595,0,0,0.001141518523354,0,5.928375090847,2.23906351936,19.3490867471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631495256887,0,0,0,0,0,0,0,0,0,0,19.3490900075,0,0,0,0,0,0,0,0.0431818556294,0,0
"34","4-14-70-16-SE",0,0,0.823958073138,0,0,0,0,0,1.799508494966,0,20.26139092195,2.89972799467195,0,0,0,0,0,6.328997163144,0.06320493751107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6372127899393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449256290536,0,20.3245960561928,0,0,0,0,0,0,0,0.0256924803182,0,0
"35","4-14-70-16-SW",0,0,0,0.4043324279492,0,0,0,0,33.9299488676089,0,0,1.43281081796,0,0,0,0,0,14.4486907769439,0.292888604491,0,0,0,0,1.058853415704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91457998775712,0,0,0,0,1.04961357202,0,0,0,0,0,0,0,0,0,0,0.292888487446,0,0,0,0,0,0,0,0.29013376030547,0,0.159943197892
"36","4-14-70-17-NE",0,0,0,0,0,0,0,0,39.0774814200636,0,0,0,0,0,0,0,0.199833748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46192708447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054199986979,0,0
"37","4-14-70-17-NW",0,0,34.1730448028429,0,0,0,0,0,19.7684185652216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7079209359732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3855129586132,0,0
"38","4-14-70-17-SE",0,0,2.573182024469,0.11939693238372,0,0,0,0,43.764825550496,0,0,0,0,0,0,0,0,2.96101333661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.953562779584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463322852532,0,0
"39","4-14-70-17-SW",0,0,18.148726781819,0,0,0,0,0,27.6112027768653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1310900522266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67695661728874,0,0
"40","4-14-70-18-NE",0,0,16.88314248646,0,0,0,0,0,11.781626843018,0,0,0,0,0,0,0,0,8.024666628135,0,0,0,0,0,0,2.016922971194,18.43985338286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0018425462137,0,0,0,0,0,0,0.643619655296,0,0,0.13163114507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1731639476933,0,0
"41","4-14-70-18-NW",0,0,1.979423701184,0,0,0,0,0,9.926043616148,0,0,0,0,0,0,0,0,32.4673821595216,0,0,0,0,0,0,3.096570124311,1.27658151435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.469420081898,10.9804569067459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3013606870484,0,0
"42","4-14-70-18-SE",0,0,22.4974345800577,0,0,0,0,0,23.532829867745,0,0,0,0,0,0,0,0,9.918775824108,0,0,0,0,0,2.64714416044,0,1.68580054118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8907718907255,0,0,0,0,0,0,0.807323577434,0,0,2.15540535335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986443089106541,0,0
"43","4-14-70-18-SW",0,0,12.9098246581,0,0,0,0,0,34.3973074017302,0,0,0,0,0,0,0,0,2.9079560148293,0,0,0,0,0,3.916196517434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25820836349,0,0,0,0,0,1.09141367992,8.35977617388363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46454149091117,0,0
"44","4-14-70-19-NE",0,0,3.361787461577,0,0,0,0,0,22.36894454487,0,0,1.01732088783,0,0,0,0,0,6.7819327163485,0,0,0,0,0,0,0,0,0,0,0,2.67576892487,0,0,0,0,0,0,0,0,0,0,6.225144487434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53029417025953,0,0
"45","4-14-70-19-NW",0,0,4.81225998935,0,0,0,0,0,11.111107267419,0,0,0.2689078206278,0,0,0,0,0,24.0901097147418,0,0,0,0,0,0,0,0,0,0,0,0.17530049669,0,0,0,0,0,0,0,0,0,0,2.03379841663,0,0,0,0,5.11640377418,0,6.01442523676329,0,0,1.52052972458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44023117254905,0,0
"46","4-14-70-19-SE",0,0,9.869048456723,0,0,0,0,0,36.058490997244,0,0,0,0,0,0,0,0,0.143670204341,0,0,0,0,0,0,0,0,0,0,0,0.271928052312,0,0,0,0,0,0,0,0,0,0,17.145082460161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321724784482,0,0
"47","4-14-70-19-SW",0,0,2.03498820529,0,0,0,0,0,51.3807885179003,0,0,0,0,0,0,0,0,4.502465406424,0,0,0,0,0,0,0,0,0,0,0,0.213971832952,0,0,0,0,0,0,0,0,0,0,0.455381905642,0,0,0,0,1.472588275596,0,1.5836871080035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27437079186831,0,0.27434087482
"48","4-14-70-2-NE",0,0,4.18170438658,0,0,0,0,0,4.55892998161588,0,0,0,0,0,0,0,0,0,28.86887263017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35579373362,0,0,0,0,0,8.7325231610212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8688724805,0,0,0,0,0,0,0,0.2073909572046,0,0
"49","4-14-70-2-NW",0,0,7.48423861259,0,0,0,0,0,20.5678428353908,0,0,0,0,0,0,0,0,1.218831558388,2.26480946558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8315299442,0,0,0,0,0,9.88848693716759,0,0,0,0,1.7480459796448,0,0,0,0,0,0,0,0,0,0,2.264809960373,0,0,0,0,0,0,0,0,0,0
"50","4-14-70-2-SE",0,0,0,0,0,0,0,8.21809844552,3.30090699639,0,0,0,0,0,0,0,0,0,8.31145038252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.439004385666,0,0,0,0,0,9.05631035692615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31145076262,0,0,0,0,0,0,0,0.888743610719632,0,0
"51","4-14-70-2-SW",0,0,5.43802752988,4.513894919642,0,0,0,0.0377583900139,15.88513447309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2446187032601,0,0,0,0,0,17.2151414030228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2568775475561,0,0
"52","4-14-70-20-NE",0,0,0,0,0,0,0,0,7.841032789356,0,0,0,0,0,0.000417702810738,0,0,0.891774387151,25.214468802,0,0,0,0,0,0,0,0,0,0,0.890489569038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00741186686,17.5697875974,0,0.000566374831463,0,0,0,0,0,0,0,25.2144681674,0,0,0,0,0,0,0,0.134286137205,0,0
"53","4-14-70-20-NW",0,0,0.650966725673,0,0,0,0,0,9.570058617111,0,0,0,0,0,0.872022954595,0,0,3.2842324381926,16.4376250248,0,0,0,0,0,0,0,0,0,0,2.78575367947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5407585916851,0,0,0,0,0,0,0,0,0,0,16.4376256002,0,0,0,0,0,0,0,0.0512523406959,0,0
"54","4-14-70-20-SE",0,0,13.486954404787,0,0,0,0,0,22.4453921044333,0,0,0,0,0,0.000619862770721,0,0,5.2361384822229,14.4951584355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3722056966664,0,0,0,0,0.104499115157,0.348063989304,0,0,0,0,0,0,0,0,0,14.4951564213,0,0,0,0,0,0,0,0.375342684086,0,0
"55","4-14-70-20-SW",0,0,20.63116815048,0,0,0,0,0,26.8524141084312,0,0,0,0,0,0,0,0,2.0615828242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.107714631721,0,0,0,0,1.06069903654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","4-14-70-21-NE",0,0,0.308372134497,0.916213240629,0,0,0,0,0,0,0,23.0892758437197,0,0,0.651847114759,0,0,0,5.52878421329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51714573655,0,0,0,0,0,0,0,0,0,8.531254826073,1.48786464842,0,0,0,0,0,0,0,0,0,5.52878446265,0,0,0,0,0,0,0,0.25773849931795,0,0
"57","4-14-70-21-NW",0,0,0,0,0,0,0,0,0,0,0,7.70156972278731,0,0,0.9960473237949,0,0,0.000260771347347,44.70363359476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.493731939089,0.939560327147,0,0.000549940991715,0,0,0,0,0,0,0,44.60379157431,0,0,0,0,0,0,0,0.0404481541252,0,0.301697450055
"58","4-14-70-21-SE",0,0,3.848839951712,1.42074808195,0,0,0,0,9.39852877385,0,0,1.92658431188,0,0,0.0586693102773,0,0,0.0813245599474,3.43057340112,0,0,0,0,3.89018431194,0,0,0,0,0,0,0,0,0,0,5.08534528834,0.358248520639,0,0,0,0,8.52290739722,0,0,0,0,12.97733510346,0,0,0,0,0,0,0,0,0,0,3.43057367471,0,0,0,0,0,0,0,0.0097313145005,0,0
