"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"38","4-14-70-17-SE",0,0,2.573182024492,0.11939693238272,0,0,0,0,43.764825550424,0,0,0,0,0,0,0,0,2.9610133366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.953562779599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463322852653,0,0
"39","4-14-70-17-SW",0,0,18.1487267818725,0,0,0,0,0,27.6112027768672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1310900522386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67695661717876,0,0
"40","4-14-70-18-NE",0,0,16.88314248642,0,0,0,0,0,11.781626843001,0,0,0,0,0,0,0,0,8.024666628178,0,0,0,0,0,0,2.016922971211,18.43985338295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0018425462107,0,0,0,0,0,0,0,0.643619655296,0,0,0.13163114507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1731639476626,0,0
"41","4-14-70-18-NW",0,0,1.979423701186,0,0,0,0,0,9.926043616147,0,0,0,0,0,0,0,0,32.4673821595056,0,0,0,0,0,0,3.09657012431,1.27658151433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.571098924841,0,0,4.469420081911,6.4093579819069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3013606869262,0,0
"42","4-14-70-18-SE",0,0,22.4974345800554,0,0,0,0,0,23.5328298677486,6.644036971406,0,0,0,0,0,0,0,3.2747388527,0,0,0,0,0,2.64714416045,0,1.68580054118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8907718907472,0,0,0,0,0,0,0,0.807323577436,0,0,2.15540535336,0,0,0,0,0,6.644036971375,0,0,0,0,0,0,0,0.909747586837035,0,0
"43","4-14-70-18-SW",0,0,12.9098246581,0,0,0,0,0,34.3973074016879,0.525107443998,0,0,0,0,0,0,0,2.382848570817,0,0,0,0,0,3.916196517424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.258208363465,0,0,0,0,0,0,1.09141367994,8.35977617387845,0,0,0,0,0,0,0,0,0.5251074439935,0,0,0,0,0,0,0,1.42386370451033,0,0
"44","4-14-70-19-NE",0,0,3.361787461577,0,0,0,0,0,22.36894454497,0,0,1.01732088784,0,0,0,0,0,6.781932716336,0,0,0,0,0,0,0,0,0,0,0,2.67576892486,0,0,0,0,0,0,0,0,0,0,5.82283659605,0,0.402307891403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402307891399,0,0,0,0,0,0,0,0.53029417034789,0,0
"45","4-14-70-19-NW",0,0,4.81225998935,0,0,0,0,0,11.1111072674083,0.0325553680452,0,0.236352452587,0,0,0,0,0,24.0901097147855,0,0,0,0,0,0,0,0,0,0,0,0.175300496689,0,0,0,0,0,0,0,0,0,0,2.03379841661,0,0,0,5.11640377418,0,0,0,6.0144252367443,0,0,1.52052972458,0,0,0,0,0,0.0325553680447,0,0,0,0,0,0,0,0.43525176833892,0,0
"46","4-14-70-19-SE",0,0,9.869048456709,0,0,0,0,0,36.058490997279,0,0,0,0,0,0,0,0,0.143670204341,0,0,0,0,0,0,0,0,0,0,0,0.271928052312,0,0,0,0,0,0,0,0,0,0,17.14508246016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321724784482,0,0
"47","4-14-70-19-SW",0,0,2.03498820528,0,0,0,0,0,51.3807885179533,0,0,0,0,0,0,0,0,4.502465406446,0,0,0,0,0,0,0,0,0,0,0,0.21397183295,0,0,0,0,0,0,0,0,0,0,0.455381905636,0,0,0,1.314545712585,0,1.472588275588,0,0.2691413954043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2743707918273,0,0.274340874811
