"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC60","MixedwoodCC80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"3567","4-13-99-33-NE",0,0,3.32080179144,42.684853775378,0.31641529736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000696156603405,0,0,0,15.7791558769034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4493432187256,0,0
"3568","4-13-99-33-NW",0,0,18.454113547319,13.0869484822122,2.63011322019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.343852997051,0,0,0,17.594297609321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3234155007703,0,0
"3569","4-13-99-33-SE",0,0,3.07654058976023,17.704233152147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.623494979761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3570","4-13-99-33-SW",0,0,1.045472035411,6.479320279987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2736643488452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159412956957,0,0
"3571","4-13-99-34-NE",0,0,5.076533289154,4.23148709281,17.85876057905,0,0,0,12.29620339748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.849779292227,0,5.40167167443,0,0,16.157018242858,0,0,0,0,0,0,0,0,0,0,2.00970640785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423381622213,0,1.00012350393
"3572","4-13-99-34-NW",0,0,10.5818861476789,8.967412141529,4.0802026771582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.751973137997,0,0,23.0908739577669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4957063727461,0,0
"3573","4-13-99-34-SE",0,0,4.574492360768,25.0828234848,22.864747604809,0,0,0,0.0555604707806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.259513461,0,0,0,0,1.50335351665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269459193032,0,0
"3574","4-13-99-34-SW",0,0,7.5556018030237,18.8122176076975,15.606829434948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6945958303,0,0,0,0,12.7880881925528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3575","4-13-99-35-NE",0,0,9.400490255225,14.082320876427,0.147774549606,0,0,0,16.0016630061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04081920552,0.8215809545139,11.4345165103591,0,0,11.951791459799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462448741516,0,0,0,0,0,0,0,0,0,0,0.479381165498,0,0
"3576","4-13-99-35-NW",0,0,3.30332481945,8.402981702716,1.123651279561,0,0,0,1.034097871609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11412530192,1.452919414183,12.874152716325,0,0,35.870186533698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3577","4-13-99-35-SE",0,0,2.936498851647,3.617993106092,0,0,0,0,1.09400481139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98851520271,4.498189671745,4.80267778547,0,0,32.3106555531947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710323615277889,0,0.171598458325
"3578","4-13-99-35-SW",0,0,2.641585470649,8.8531768156554,19.848946358243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593344410775,0.490394687775,12.1406161700174,0,0,16.026122186078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4360420253867,0,1.0731028664607
"3579","4-13-99-36-NE",0,0,1.12005465589,12.9505810124922,10.9885674318954,0,0,0,1.1437534127212,1.65532919853,0,0,0.9314548567989,0,0,0,0,10.5348514802584,0,0,4.25589340397,0,0,7.9634717979,1.57898817503,0,0,0,0,0,0,0,0,0.8901383598334,0,0,0,9.48544778428631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230731925148,0,5.9112226025,0,0,0,0,0,0,0,0,0.0757477663699,0,0
"3580","4-13-99-36-NW",0,0,2.14299949864,15.719235237293,4.616597472187,0,0,0,5.38210640016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33174032312,2.44027485736,0,0,0,0,0,0,0,0,22.51870295169,0,0,0,11.4366737479,0,0,0,0,0,0,0,0,0,0,0,1.25787476426,0,0,0,0,0,0.0838895581442,0,1.25787476425,0,0,0,0,0,0,0,0,0.558675254853,0,0
"3581","4-13-99-36-SE",0,0,0,0,0.693472862543,0,0,0,4.66568577214,5.38685495625,0,0,7.82024785725738,0,0,0,0,15.185793841742,0,0,0,0,0,0.5602238620902,0,0,0,0,0,0,0,0,0,4.735056749359,0,0,0,25.437422251195,0,0,0,0,0,0,0,0,0,0,0.406724931466,0.00261165340464,0,0,0,0,0,0.0765586701201,0,5.38685495622,0,0,0,0,0,0,0,0,0,0,0
