"","QSLinkID","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"37","5-1-90-17-SW",0,0,0,0,0,2.38099452301,0,0,0,0,0,0,0,0,55.2206500879309,0,0,0,0,0,0,0,1.64267476315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8456921318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44655782658,0,0
"38","5-1-90-18-NE",0,0,0,0,0,0,0,0,0,1.45458748361,0,0,0,0,58.324976489816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8234530981211,0,0
"39","5-1-90-18-NW",0,0,0,0,0,3.09403926321,0,0,0,0.243737650851,0,0,0,0,48.725790651638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.924144909466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41927595710147,0,0
"40","5-1-90-18-SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.131447257736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6072931828025,0,0
"41","5-1-90-18-SW",16.910195486636,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9834859970914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8450544519918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03078346940065,0,0,0,0,0,0,0,1.62315445627973,0,0
"42","5-1-90-19-NE",6.33970363894,0.673167380689,0,0,0,15.30695063077,5.5929117321,0,0,1.06749877017,0,0,0,0.635182475336,13.726741628209,0,0,0,0,0,0,0.14316859644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91423309737,0,0,0,0,0,6.956512172165,2.842211085579,2.58673742199,0,0,0,0,0,0,0.109750948585,0,0,0,0.109750948133,0,0,0,0,0,0,0,0,2.01216376945197,0,0
"43","5-1-90-19-NW",0,2.80443137763,0,0,0,0,0,0,0,2.38711269935,26.243411908593,0,0,1.1550185708,17.050412454981,0,0,0,0,0,0,0,0,0.1665113641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.981821887507,0.0528065067399,0.276255177102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7117036299939,0,0
"44","5-1-90-19-SE",0,0,0,0,0,0.00636464323021,2.221219204356,0,0,2.13454731017,0,0,0,4.49460318381,42.722125144594,0,0,0,0,0,0,1.540919396039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631012756084,0,0,0,0,0,0,1.59143178979,4.91668430706,0,0,0,0,0,0,1.18770132116,0,0,0,1.18770132395,0,0,0,0,0,0,0,0,1.09040183821859,0,0
"45","5-1-90-19-SW",0,0,0,0,0,0,0.220999865841036,0,0,8.81903978129,0,0,0,0.00827691992787,52.7942516383075,0,0,0,0,0,0,0,0,4.11587079615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00470641555,0,0
"46","5-1-90-2-NE",0,0,0,0,0,0,6.13842974556,0,0,0,2.7231132418105,0,0,0,34.282369121997,0,0,0,0,0,0,0,0.00169134411471,4.4600165154,0,0,0,1.45357020353,0.268699173544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683191466851,0,7.11116641884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0911428334,0,0
