"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"32","4-20-77-16-SW",0,0,5.350770558717,5.428626274146,0.0237593541596,0,0,19.8713335742771,25.1968246025832,0,0,0,0,0,0,0,0,6.46790508473399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359315810287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2832882994022,0,0
"33","4-20-77-17-NE",0,0,4.033348234095,0.2808565994,0,0,0,3.77010891511,56.572562685136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26227617018e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482400653988,0,0
"34","4-20-77-17-NW",0,0,0,14.5289618849,6.916250884431,0,0,0,23.0412247038613,0,0,0,0,0,0,0,0,10.7827950317784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.710337357513,0,0,0,0,0,0,0,0,0.1882441508045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6824866755825,0,0
"35","4-20-77-17-SE",0,0,1.44674338255,1.071762300144,6.000626137259,0,0,0.649457373172,49.9380624497519,0,0,0,0,0,0,0,0,1.14697323519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.032194574357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321674414495,0,0
"36","4-20-77-17-SW",0,0,2.64519400567,10.491474027,28.1832461101108,0,0,0,7.301629061179,0,0,0,0,0,0,0,0,7.73034609891682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5961213817158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3297070123749,0,0
"37","4-20-77-18-NE",0,0,0,0,0.319519730397,0,0,0,10.2531882932042,0,0,0,0,0,0,0,0,41.8476479074127,0,0,0,0,0,0,0,0,0,0,0,5.58254695718,0,0,0,0,0,0,0,0,0,0,0,1.3521828272542,0,0,0,0,0,0,0,0,0.828899817826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02361246227833,0,1.094468432794
"38","4-20-77-18-NW",0,0,0,0,0,0,0,0,0.313921833634,0,0,0,0,0,0,0,0,65.5382178246472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4307244666848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","4-20-77-18-SE",0,0,0,0,0.369381137356,0,0,0,17.024082951473,0,0,0,0,0,0,0,0,36.8788914795188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.322197103761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599904192123,0,0
"40","4-20-77-18-SW",0,0,0,0,0,0,0,0,2.76037781456,0,0,4.00255520593292,0,0,0,0,0,59.7430378217114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1306264868114,0,0
"41","4-20-77-19-NE",0,0,0.193851913994,5.191230755992,25.38500666796,0,0,6.74342117721,0,0,0,0.038171807481,0,0,0,0,0,1.163482826953,0,0,0,0,0,0,0,0,0,0,0,9.90400586109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.642278450564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48222947091,0,0
