"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","NA.","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"2985","4-13-69-26-NW",0,0,0,1.53785495577,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6314325088415,0,0,0.270251104153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270251104149,0,0,0.304849569028,0,0,0,0,0,0,0.0735977278459,0,0
"2986","4-13-69-26-SE",0,0,0,0,0,0,0,0,1.053810692557,0,0.01848962638167,0,0,0,0.03460140074679,0,2.53965403441745,29.1862315940445,0,0,21.755809151344,0,0,0,0,0,0,0,2.2146487010751,0,5.71785956729e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1371126393,0,0,0,0,0,0,0,0,0,0,0,21.755809174017,0,0,0,0,0,0,0,0,0,0,0,0
"2987","4-13-69-26-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257483666619691,0,7.0334276414984,30.5579087111137,0,0,11.7141487754184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6526192194893,0,0,0.356539151540582,0,0,0,0,0.213980963102833,0,0.03653514454009,0,0
"2988","4-13-69-27-NE",0,0,2.49461120422,0,0,0,0,0,1.806912169772,0,0,0,0,0,0,0,0,52.6416523588072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123263935424,0,0,0,0,0,0,0.328424165171,0,0.171221143382
"2989","4-13-69-27-NW",0,0,8.932789740169,0,0,0,0,0,5.557659993514,0,0,0,0,0,0.06434053228172,0,0.587130315757,21.3568762651244,0,0,27.268508588975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.268508588963,0,0,0.0327702279428,0,0,0,0,0,0,0,0,0
"2990","4-13-69-27-SE",0,0,2.85379667095,0.647945089507,0,0,0,0,0.116652142781,0,0,0,0,0,0.0233846143493331,0,0,33.843524004183,0,0,26.4938072359541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.480856963033,0,0,0.124243404721,0,0,0,0,0.026275127251765,0,0.0373631899832,0,0
"2991","4-13-69-27-SW",0,0,0.524341261334,0,0,0,0,2.737094645365,1.1409543553002,0,0,0,0,0,0.050531438918213,0,3.19877621094703,28.3429145158168,0,0,26.8289256574515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035460614767,0,0,0,0,0,0,0,0,0,0,0,0,2.707299057131,0,0,0,0,0,0,26.6075545984132,0,0,0,0,0,0,0,0.1643768456804,0,0,0,0.295823386309
"2992","4-13-69-28-NE",0,0,0.023972431748,0,0,0,0,0,3.4451831905589,0,0,0,0,0,0.010052869751785,0,0,19.546608032434,0,0,8.62180916515,0,0,0,0,0,0,0,0,0,1.15628841634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.34011978318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62180916516,0,0,0,0,0,0,0,1.09177660704,0,0,0,0
"2993","4-13-69-28-NW",0,0,1.181787199178,0,0,0,0,1.85575615769,11.0929114364912,0,0,0,0,0,0,0,0,10.845166377028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5971077870436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2994","4-13-69-28-SE",0,0,0.187405631719,0,0,0,0,0.572136645624,25.056321238921,0,0,0,0,0,0.0029472034585664,0,0.2210667801733,4.4766210047675,0,0,4.61808768209056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1511102092421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54449325567093,0,0,0,0,0,0,0.0112727343924,0.89396757431112,0,0,0,0
"2995","4-13-69-28-SW",0,0,0.656348669008,0,0,0,0,2.62029518024,29.0442016858423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2957836465078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2986651502089,0,0,0,0,0,0,0,0,0.0361893666703
"2996","4-13-69-29-NE",0,0,9.5928238597,0,0,0,0,0,7.415559134969,0,0,0,0,0,0,0,0,6.840210868956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.60707772172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2997","4-13-69-29-NW",0,0,4.960954291047,0,0,0,0,0,7.3883174314032,0,0,0,0,0,0,0,0,0.643709043432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05785315101,39.779655150583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431970613758,0,0
"2998","4-13-69-29-SE",0,0,0,0,0,0,0,0.620362579948,6.116205821482,0,0,0,0,0,0,0,0,4.185541522945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3137080319671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2999","4-13-69-29-SW",0,0,0,0,0,0,0,0,8.03240182708729,0,0,0,0,0,0.01923452271142,0,0,27.5191598717381,0,0,6.8386675075128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.393872952926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8386675074838,0,0,0.5574829667718,0,0,0,0,0.1688878883878,0,0.2722529801301,0,0
"3000","4-13-69-3-NE",0,0,0.504315666575,0,0,0,0,0,0.318479063352,0,0,0,0,0,0.000868403449238,0,30.70722050253,3.437867957582,0,0,0.609625958367216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609625958353216,0,0,0,0,0,0,0,0,0,0,0,0
"3001","4-13-69-3-NW",0,0,0,0,0,0,0,0,15.7100773266246,0,0,0,0,0,0.044438020387036,0,7.8994595659986,2.322356131658,0,0,14.3902448614067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53500331447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666433259759,14.3286942669163,0,0,0,0,0,0,0,0,0,0.1456031019855,0,0
"3002","4-13-69-3-SE",0,0,2.772740559673,0,0,0,0,0,12.1430999374372,0,0,0,0,0,0.040394398256324,0,22.9055988582044,5.06718113623786,0,0,20.450155126205,0,0,0,1.27013948206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.450155126217,0,0,0,0,0,0,0,0,0,0.347739557920429,0,0
