"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1856","4-19-71-11-SW",0,0,30.71850420618,11.9849742997785,19.496798294882,0,0,0,0,0.840429994569,0,0.760511311438,2.827420821216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840429994569,0,0,0,0,0,0,0,0.5622851107768,0,0
"1857","4-19-71-12-NE",0,0,32.853747865919,8.83936030254,0,0,0,0,0,1.79391470845,0,1.023032745393,0,0,0,0,0,0,0,0,0,0,7.83009713781,0,0,0,1.25978122708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5236717206,0,0,0,0,0,0,0,0,0,0,10.88379307334,0,0,0,0.576830584812,0,0,0,0.45843254186819,0,0
"1858","4-19-71-12-NW",0,0,46.032975916954,3.055903870256,3.733876695064,0,0,0,0,3.15863672858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64649112378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78430027305767,0,0,0,0,0,0,7.80512785236,0,0,0,0.730472240139,0,0,0,1.46829509840555,0,0.238221982563
"1859","4-19-71-12-SE",0,0,10.9716808022,7.477389117034,1.584013838683,0,0,0,0,0,8.86990269923,0,0.601560047078,0,0,0,0,0,0,0,0,0,9.24303493546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455744126525,0,0,0,0,0,0,0,0,0,0,18.11293763469,0,0,0,0,0,0,0,0.41248448790602,0,0
"1860","4-19-71-12-SW",0,0,44.315110440784,5.61151155028,9.6545758600875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25449355346375,0,0
"1861","4-19-71-13-NE",0,0,40.748091301705,9.726812250557,10.8867833565,0,0,0,0,0,0,0,0.746101151477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615347478360424,0,0
"1862","4-19-71-13-NW",0,0,18.40759921423,11.60272444471,0,0,0,0,0,0,0,0,0,1.78112525877,0,0,0,0,0,0.787951447952,0,0,0,0,0,2.77179948507,12.87262246946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719112254258,0,0,0,0,0,0,13.660573653114,0,0,0,0,0,0,0,0.237724443383888,0,0
"1863","4-19-71-13-SE",0,0,52.2107323003054,13.0377372658304,0,0,0,0,0,0,0,1.11786885047,0.223206716189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86780864368865,0,0
"1864","4-19-71-13-SW",0,0,53.027214468572,4.61325794599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38213988819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7849231595814,0,0,0,0,0,0,5.38213988821,0,0,0,0,0,0,0,1.09089325427764,0,0
"1865","4-19-71-14-NE",0,0,22.25827236291,6.98596591101,0,0,0,0,0,0,1.10046739882,0,0,0,8.133167010546,0,0,0,0,4.11196348285,0,0,0,0,0,0,9.03820516903,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3085068128753,0,0,0,0,0,0,9.1922344877,0,0,0,0,0,0,24.6923098741283,0,0,0,0.0440926031387,0,0,0,0.0784569149535,0,0
"1866","4-19-71-14-NW",0,0,18.762585548733,1.825541144768,0,0,0,0,0,0,0,0,0.160155154877,1.017613148011,11.8448862506,0,0,0,0,13.49925308303,0,0,0,0,0,0.450280470115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46334657032,0,0,0,0,0,0,25.34414050442,0,0,0,0,0,0,0,0,0,0
"1867","4-19-71-14-SE",0,0,5.934709505652,1.7053395861995,0,0,0,0,0,0,1.53303588813,0,0,1.097471169539,8.618907987878,0,0,0,0,0,0,0,0,0,0,20.2698410470021,1.52191088803,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00798332528,0,0.487980074685,0,0,0.795526038557,0,14.7946583862027,0,0,0,0,0,0,19.681838089309,0,0,0,0.148865427515,0,0,0,0.49012887024797,0,0
"1868","4-19-71-14-SW",0,0,18.781108654756,14.65480371369,0,0,0,0,0,0.0268017163894,6.6455631935491,0,5.40709761804,0,0,0,0,0,0,0.444896825156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124720291074,0,2.87999289164,1.9945152481112,0,0,0,1.371858037745,0,0,0,0,0,0,7.2419816225927,0,0,0,0,0,0,0,1.1225607433813,0,0
"1869","4-19-71-15-NE",0,0,0,0,0,0,0,0,0,0,0.934528610958,0,2.9247333876,54.6908925945481,0,0,0,0,0,6.03495642446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.969484480721,0,0,0,0,0,0,0,0,0,0
"1870","4-19-71-15-NW",0,0,0,0,0,0,0,0,0,0,0,0,0.014291472253,4.524240086732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75575189616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
