"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"33","4-1-85-18-SE",0,0,0,25.519035254867,3.032980958302,0,0,0,0,0,0,0.940921528623,0,0,0,0,1.16276050161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.704545648587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.649120525709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","4-1-85-18-SW",0,0,0,3.530357830827,9.5359354351583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","4-1-85-19-NE",0,0,2.46351597398,3.424860170491,3.518435468669,0,0,0,0,0,0,0.0344341535621,7.577891508452,23.916981355108,0,0,0,0,0,0,0,0,0,0,0.460208530816,4.58600828164,0,0,0,0,0,0,0,0,0,0,0,12.44130476115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482407755312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561164570477,0,0,0
"36","4-1-85-19-NW",0,0,0,8.524584527995,47.081318931845,0,0,0,0,0,0,0,0.5871924388356,5.87768386008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147154349555,0,0,0
"37","4-1-85-19-SE",0,0,0,8.650956522933,3.6719322789971,0,0,0,0,0,0,0,7.13757831443,10.580675444368,0,0,0,0,0,0,0,0,0,0,0,5.60707753863,0,0,0,0,0,0,0,0,0,0,0,4.908341442401,4.8265943965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","4-1-85-19-SW",0,0,0,10.781422059435,25.7964750760351,0,0,0,0,0,0,0,5.169025261399,0.074755300332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1755657856506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","4-1-85-2-NE",0,0,0.0303584188484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","4-1-85-2-NW",0,0,1.70529858304,2.077928002986,17.329082957739,0,0,0,21.878217662901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883632393765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","4-1-85-2-SW",0,0,0,0,0.1029151260882,0,0,0,2.96723407450645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32691078913224,0.224407043356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","4-1-85-20-NE",0,0,2.00886101526,12.9680147327914,9.923251692547,0,0,0,0,0,0,0,13.777193688055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03265073552,16.489273201205,5.74980233124,0,0,1.65817753996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246539231309,0,0,0
"43","4-1-85-20-NW",0,0,1.467543481671,18.87070525085,41.0541875953234,0,0,0,0,0,0,0,2.240421015513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613497116432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978299573154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5114142424879,0,0,0
"44","4-1-85-20-SE",0,0,5.56692345567,45.28014599541,12.415133917417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867519212206,0,0,0,1.27088235082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270385485778,0,0,0
"45","4-1-85-20-SW",0,0,0,19.66427683159,11.447120366383,0,0,0,1.39428504342,0,0,0,2.390352798564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.981248379748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","4-1-85-21-NE",0,0,3.418326893263,33.69675791672,11.069739431081,0,0,0,2.18819822782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619548490669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","4-1-85-21-NW",0,0,19.61543271187,5.873784948838,13.244414161,0,0,0,0,0,0,0,4.452825382731,0,0,0,0,0,0,0,0,0,0,0,0,0.450535846109,0,0,0,0,0,0,0,0,0,0,0,16.2972820794299,2.98492704295,0,0,2.6448034488944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","4-1-85-21-SE",0,0,2.381185736957,45.93031390384,13.524342133615,0,0,0,2.693644210911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901704726344,0,0,0,0.000189056265092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262343146774,0,0,0
"49","4-1-85-21-SW",0,0,5.99374744414,5.610943238222,25.8134056362721,0,0,0,0.945837552564,0,0,0,2.78476357412968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751136503189,4.73922003795,0,0,20.274274935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5849846665969,0,0,0
"50","4-1-85-22-NE",0,0,1.781130762073,24.081134353892,5.30030676377,0,0,0,33.463819002119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2404416787485,0,0,0
"51","4-1-85-22-NW",0,0,0,35.9559412204539,3.883381446058,0,0,0,21.450661320412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","4-1-85-22-SE",0,0,0,8.16517639782,24.20997899401,0,0,0,30.78211174505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15176033085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43572112475504,0,0,0
"53","4-1-85-22-SW",0,0,12.379966534907,10.5176067630177,6.800804306903,0,0,0,26.7474794059144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552816399947,0,0,2.78888156809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247328180589,0,0,0
"54","4-1-85-23-NE",0,0,26.5579859565875,25.93956261947,12.128273382038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","4-1-85-23-NW",0,0,53.3404231919334,5.8283112828463,0.755537093401,0,0,0,6.31903240757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4428194182989,0,0,0
"56","4-1-85-23-SE",0,0,19.244069039923,17.5525063000555,20.68724938919,0,0,0,7.14112801198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","4-1-85-23-SW",0,0,31.3787460282581,21.2719496390857,13.204562772756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397103923743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
