"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"49","4-14-70-2-NW",0,0,0,20.5678428353508,7.48423861266,0,0,0,0,0,0,0,1.218831558388,0,0,0,0,0,0,2.26480946558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3764987454276,0,0,0,0,0,0,3.34351813592,1.7480459796448,0,0,0,0,0,0,0,0,0,0,0,5.608328096303,0,0,0,0,0,0,0,0,0,0
"50","4-14-70-2-SE",0,0,8.21809844553,3.30090728523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31143352759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73154646010255,0,0,0,0,0,23.682151409766,7.081632479569,0,0,0,0,0,0,0,0,0,0,0,0,39.075222031041,0,0,0,0,0,0,0,0.316391718402469,0,0
"51","4-14-70-2-SW",0,0,0.0377583900166,15.88513447311,9.951922449522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85577386507,0,0,0,0,0,13.6039862412129,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6039898837914,0,0,0,0,0,0,0,0.2568775475931,0,0
"52","4-14-70-20-NE",0,0,0,7.841032789356,0,0,0,0,0,0,0,0,0.643121050492,0,0,0.249071039448738,0,0,25.214468802,0,0,0,0,0,0.890489569038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82023276688,0,12.7575330722315,0,0,0,0,0,25.463121504148,0,0,0,0,0,0,0,0.134286137212,0,0
"53","4-14-70-20-NW",0,0,0,9.570058617101,0.650966725673,0,0,0,0,0,0,0.1847691912026,1.00153352263,0,0,2.969952678975,0,0,16.4376250248,0,0,0,0,0,2.78575367947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5407585916946,0,0,0,0,0,0,0,18.53555532458,0,0,0,0,0,0,0,0.0512523407108,0,0
"54","4-14-70-20-SE",0,0,0.0412721026773,22.404120001756,13.486954404797,0,0,0,0,0,0,0,4.9177737886459,0,0,0.318984556335721,0,0,14.4951584355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3722056966664,0,0,0,0,0,0,0,0,0,0,0,0.452563104464,0,0,0,0,0,0,0,14.813521114863,0,0,0,0,0,0,0,0.37534268405,0,0
"55","4-14-70-20-SW",0,0,0.993570303094,25.8588438053762,20.63116815052,0,0,0,0,0,0,0,0,0,0,2.06158282421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.595578033968,0,0,0,0,0,2.512136597725,0,0,0,0,0,1.06069903652,0,0,0,0,0,0,0,4.573719421936,0,0,0,0,0,0,0,0,0,0
"56","4-14-70-21-NE",0,0,0,0,1.224585375126,0,0,0,0,0.6669620338271,0,0,19.728306542098,0,0,3.345854382518,0,0,5.52878421329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51714573655,0,0,0,0,0,0,0,0,0,0,10.019119474503,0,0,0,0,0,0,0,8.8897537642663,0,0,0,0,0,0,0,0.24897437057535,0,0
"57","4-14-70-21-NW",0,0,0,0,0,0,0,0,0,4.07673597155,0,0,0.182002506069347,0,0,4.43927531438965,0,0,44.70349981045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.433292263268,0,0.000550062422735,0,0,0,0,0,52.1236215459508,0,0,0,0,0,0,0,0.0404481541175,0,0.301697450048
"58","4-14-70-21-SE",0,0,0,9.39852877381,5.269588033682,0,0,0,0,0,0,0,0.0813245599474,0,0,1.9852536221873,0,0,3.43057341902,0,0,0,0,0,0,3.8901843119,0,0,0,0,0,0,0,0,0,1.82144367784,0.358248520637,0,0,1.43421889104,3.65112639733,0,6.70146370231,2.3470127284,0,0,0,10.63032237507,0,0,0,0,0,0,0,17.14396698717,0,0,0,0,0,0,0,0.0097313145012,0,0
