"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"35","4-20-77-17-SE",0,0,16.640219528281,35.3940436771929,7.072388437403,0,0,0,0,0,1.14697323519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.032194574357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.179167809531,0,0,0,0,0,0,0,0,0,0,0,0.321674414495,0,0
"36","4-20-77-17-SW",0,0,0.307253590239,6.99437547094,41.3199141427808,0,0,0,0,0,0.3678018863019,0,7.36254421261492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5961213817158,0,0,0,0,0,0,0,0,0,0,0,0,0.3678018863024,0,0,0,0,0,0,0,0,0,0,0,0.3297070123749,0,0
"37","4-20-77-18-NE",0,0,2.0692332485976,8.1839550446066,0.319519730397,0,0,0,0,0,20.8833809656825,0,17.5644021686722,0,3.39986477307,0,0,0,0,0,0,0,0,5.58254695718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422702308942,0,0,0,0,0,1.30991259636,0,0,0,0.828899817826,0,0,0,0,0,0,0,0,0,0,0,0,25.5931578325139,0,0,0,0,0,0,0,0,0,0,0,0.50339354011734,0,1.094468432796
"38","4-20-77-18-NW",0,0,0,0.313921833634,0,0,0,0,0,0,18.3314161048815,3.983222262021e-06,33.0774944617887,0,11.980504489847,0,0,0,0,0,0,0,2.14879878488798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4307244666848,0,0,0,0,0,0,0,0,0,0,0,0,32.4607193794679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","4-20-77-18-SE",0,0,1.07149185857,15.952591092903,0.369381137356,0,0,0,0,0,25.603899505758,0,10.5502377283628,0,0.72475424539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.322197103761,0,0,0,0,0,0,0,0,0,0,0,0,26.328653751182,0,0,0,0,0,0,0,0,0,0,0,0.424139653264,0,0
"40","4-20-77-18-SW",0,0,0,2.76037781457,0,0,0,0,0,0,39.2699981406533,0,9.37404733289891,0,15.094780299139,0,0,0,0,0,0,0,0.00676725502077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3715456947886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","4-20-77-19-NE",0,0,6.74342117721,0,30.770089337946,0,0,0,0,0,1.201654634434,0,0,0,0,0,0,0,0,0,0,0,0,9.90400586109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.740817541664,0,0,10.9014609089,0,0,0,0,0,0,0,0,0,1.2016546344138,0,0,0,0,0,0,0,0,0,0,0,0.48222947091,0,0
"42","4-20-77-19-NW",0,0,0,13.513312721967,25.084977216203,0,0,0,0,0,10.0281954340826,0,7.61329963294,0,0,0,0,0,0,0,0,0,0,0.875523215301,3.9267476788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51624594103,0,0,2.695497248,0,0,0,0,0,0,0,0,0,10.0281949308795,0,0,0,0,0,0,0,0,0,0,0,0.4260978371414,0,0
"43","4-20-77-19-SE",0,0,0,0.39447143696388,9.674874333991,0,0,0,0,0,15.7689023769289,0,9.1294844502679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331578527449,0,0,0,0,0,2.465494806256,0,0,0,7.411284499066,0,0,0.046620861594,0,0,0,0,0,0,0,0,0,18.2343976858099,0,0,0,0,0,0,0,0,0,0,0,0.268504400878,0,0
"44","4-20-77-19-SW",0,0,0,0,0,0,0,0,0,0,20.8126847501075,11.2034245928458,10.6068711779863,0,0,0,0,0,0,0,0,0,0,0,0.0372184399816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.740508263479,0,0,0,0,0,0,0,0,0,0,0,0,20.8126852531904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","4-20-77-2-NE",0,0,52.2738031802,0,12.2757566703232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713117015566,0,0
"46","4-20-77-2-NW",0,0,0,0,59.4286118143809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9674836601379,0,0
"47","4-20-77-2-SE",0,0,47.4969432795454,2.8904276176753,12.8056714335983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465629813583,0,0
"48","4-20-77-2-SW",0,0,8.88866315169,3.199795861099,51.5508473206112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97454950214713,0,0
"49","4-20-77-20-NE",0,0,29.9011609315323,16.42336880784,7.7113796967282,0,0,0,0,0.674579303784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.371574700753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.046154004592,0,0,0,0,0,0,0,0,0,0,0,0.4685418970761,0,0
"50","4-20-77-20-NW",0,0,33.889793211935,4.088555444873,28.2759907295207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4943086448604,0,0
"51","4-20-77-20-SE",0,0,4.119738720752,16.064233873966,11.0879585946117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309058609773,0,0,0,0,0,6.12712143511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12712143512,0,0,0,0,0,0,0,0,0,0,0,0.40121261092201,0,0
"52","4-20-77-20-SW",0,0,6.52046339523,15.2820437043743,18.7432059150203,0,0,0,0,0,0,0,0.350616796095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3530431343433,0,0,0,0,0,4.44578787809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44578787803,0,0,0,0,0,0,0,0,0,0,0,0.4994700509351,0,0
"53","4-20-77-21-NE",0,0,0.153465311741,3.345373833518,48.478875703256,0,10.4521532218,0,0.595015124097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465350653619,0.134256399064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.051760274456,0,0,0,0,0,0,0,0,0,0,0,0.3994827596554,0,1.00083287835
"54","4-20-77-21-NW",0,0,2.444172419884,10.1389382298407,46.4269730657011,0,0,0,0,0.2204911481392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284937946055,0,0,0,0,0,0,5.1108884462754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.331379594376,0,0,0,0,0,0,0,0,0,0,0,0.712869611219852,0,0
"55","4-20-77-21-SE",0,0,31.116328416878,13.871500953959,11.393345641202,0,0.175148280745,0,0,0.968511291158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37185469133,0.739856169693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.255370432977,0,0,0,0,0,0,0,0,0,0,0,0.499874705391,0,0
"56","4-20-77-21-SW",0,0,21.8669898198235,0.231390204212,3.1541356443194,0,0,0,0,0.80929208197346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.499586767215,0.446272318564,0,0,0,0,0,0,6.26525090590638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07454298786728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","4-20-77-22-NE",0,0,3.48461561155,0,59.519693370275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71759108295985,0,0
