"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"35","5-1-90-17-NW",0,0,0,0,0,0,0,2.46933081001,2.704692950089,0,0.395295876387,0,0,0,0,0,53.367483848904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70469295007,0,0,0,0,0,0,0,0,0.7297580466597,0,0
"36","5-1-90-17-SE",0,0,0,0,0,0,0,4.8557251653297,0.630417384003,0,0,0,0,0,0,0,16.075836028562,0,0,0,0,17.766214163651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.768142741702,0,0,7.71703554385,0,0,0,0,0,0,0,0,0,0.630417383998,0,0,0,0,0,0,0,0,1.9060620586544,0,0
"37","5-1-90-17-SW",0,0,0,0,0,0,0,2.38099452301,11.462767973269,0,0,0,0,0,0,0,43.7578821145559,0,0,0,0,1.64267476315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8456921318,0,0,0,0,0,0,0,0,0,0,0,0,11.46276797338,0,0,0,0,0,0,0,0,1.2224457862631,0,0
"38","5-1-90-18-NE",0,0,0,0,0,0,0,0,8.92507309287,0,0,1.45458748359,0,0,0,0,49.399903396976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92507309289,0,0,0,0,0,0,0,0,0.8227700466594,0,0
"39","5-1-90-18-NW",0,0,0,0,0,0,0,3.09403926321,0,0,0,0.24373765085,0,0,0,0,48.725790651639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.924144909466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41927595710147,0,0
"40","5-1-90-18-SE",0,0,0,0,0,0,0,0,0.155632415041,0,0,0,0,0,0,0,65.975814842694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155632415042,0,0,0,0,0,0,0,0,1.6047200867925,0,0
"41","5-1-90-18-SW",0,0,0,16.910195486636,0,0,0,0,7.136857131431,0,0,0,0,0,0,0,36.8466288656764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8450544519908,0,0,0,0,0,0,0,0,0,0,7.136857131434,0.03078346940065,0,0,0,0,0,0,0,1.37599747821325,0,0
"42","5-1-90-19-NE",0,0.673167380682,5.5929117321,6.33970363884,0,0,0,15.30695063074,15.429422903327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143168595074,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91423309746,0,12.156088586963,0,0,0.229372092774,0,0,0,0,0,0,0.109750929254,0,0,0,21.126574357348,0,0,0,0,0,0,0,0,1.42090099587447,0,0
"43","5-1-90-19-NW",0,2.80443137762,0,0,0,0,0,0,26.778393052145,0,0,0,20.05756258156,0,0,0,0,0,0,0,0.1665113641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0791127852757,0,0,0.231770786101,0,0,0,0,0,0,0,0,0,0,29.582824423795,0,0,0,0,0,0,0,0,0.570019223763599,0,0
"44","5-1-90-19-SE",0,0,2.221219204354,0,0,0,0,0.00636464322783,45.16920113736,0,0,2.1345473102,0,0,0,0,2.047527191064,0,0,0,0,0,0,0,0,1.540919396006,0,0,0,0,0,0,0,0,0,0,0,1.24496308726,0,0.386049668844,0,6.50811609689,0,0,0,0,0,0,0,0,0,1.18770132116,0,0,0,46.742952130148,0,0,0,0,0,0,0,0,0.290873998086387,0,0
