"","QSLinkID","BlackSpruce0","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Larch20","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Well.Site"
"33","4-18-73-20-NW",0,39.935060112079,19.6139057196322,0,0,0,0,6.735194842567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3810796900221,0
"34","4-18-73-20-SE",0,7.467421753934,2.04874526794,0,0,0,50.12089536149,5.013189651271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482626781707,0
"35","4-18-73-20-SW",0,44.5415539018827,4.95877994305,1.22315751776,0,0,0,13.04690734327,0,0,0,0,0,0,0,0,0,0,2.516129576045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.516129103486,0,0,0,0,0,0,0,0,0,0,0
"36","4-18-73-21-NE",0,0,0,0,0,0,0,0,0,0,0.0990198868307,0,0,0,0,0,25.467849249214,0,0,0,0.785419400063,0,0,0,0,2.23841948309,4.094001097915,0,0,8.73323044019,0,0,0,0,4.95666574265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52269543918,0.104781014756,0,0,0,0,0,0,0,0,0,0,0,5.742085031812,0,0,0,0,0,0,0,0,0,0.11256755202706,0
"37","4-18-73-21-NW",0,3.9084830386457,3.481138052215,0,0,0,7.803116340479,6.392463957451,0,0,0,0,0,0,0,0,17.0771376543508,0,0,0,7.53106035059,0,0,0,0,1.55136388467,0,0,0,0,0,0,1.01171903442,0,12.70848584969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428643442689,2.141009552217,0.125080078912,0.087651594869,0,0,0,0,0,0,0,2.42590885408,0,0,23.67717363676,0,0,0,0,0,0,0,0,0,0.3871472316126,0
"38","4-18-73-21-SE",0,0,0,0,0,0,0,0,0,0,12.8570365419,0,1.07592641905,0,0,0.010997682406,27.516118389151,0,1.35946997659,0,3.021814925476,0,0,0,0,5.732995209859,2.166674037503,0,0,1.31958496809,0,0,0,0,2.70517044045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9414048247e-05,0.971693393411,3.6143333705855,1.8755628801175,0,0,0.314853118247,0,0,0,0,0,0,0,7.086455650671,0,0,0,0,0,0,0,0,0,0.3887356657319,0
"39","4-18-73-21-SW",0,9.85156972355,0,0,0,0,9.0150177768706,2.8564788211803,0,0,0.00111191449171,0,0,0.00110243633792,0,0,6.02406582011294,0,12.7759943719,0,2.016096328614,0,0,0,0,0,0,0,0,0,0,0,11.9739816957,0,9.774837859815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000790134179083,0.000227846641751,0,0.605172038908,0,0,0,0,0,0,0,0,0,0,36.236896200628,0,0,0,0,0,0,0,0,0,0.1544912146425,0.30401330035
"40","4-18-73-22-SW",0,0,0,0,0,0,0,0,0,0,1.35629671044,0,0.849585853621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086468043236697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9963287203317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","4-18-73-28-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849120819141,0,0,0,5.34238005851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7942001926499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116215127652,0
"42","4-18-73-28-NW",0,0,0.00344649251822,0,0,0,0,0,0,0,0,4.64925208133,6.11757262924,0,0,0,4.037904572518,0,0,0,0,0,0,0,1.7519068989836,4.48514115719,16.369382061595,0,0,0,0.723749633872,0,0,3.708443334939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7972201829133,0,0,2.02560503891,1.24899199661,0,0,0,0,0,0,3.708443577172,0,0,0,0,0,0,0,0,0,0.29085537308,0
"43","4-18-73-28-SE",0,0,0.118858745121,0,0,0,0,0,0,0,10.75665223405,1.66248267077,0,0,0,0.823183043284,3.720309329136,0,0,0,0,0,0,0,0,0,8.53159033127,0,0,2.51273468022,1.7834230744856,0,0,0,0.0514715185452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6712803212007,4.820236554138,8.77399808635289,0,0,0,0,0,0,0,0,0,0,0.0514717602996,0,0,0,0,0,0,0,0,0,0.6088063167638,0
"44","4-18-73-28-SW",0,1.163950888266,7.8231682798764,0,0,0,0,0,0,0,0,1.28827387705,0,0,0,1.27043785175,12.352796708149,0,0,0,0,0,0,0,0,8.0301991062412,1.8444561137,0,0,0,0,0,0,0,21.5507655290853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.602703183771,0.2826370268761,0,0,0.688075063507,0,0,0,0,0,0,0,21.5507652908589,0,0,0,0,0,0,0,0,0,0.49676049336572,0
"45","4-18-73-29-NE",0,3.73822866917,5.22969776614,7.6080440957259,0,0,0,0,0,0,0,0,0.773975756397,0,0,0,5.106603584817,0,0,5.10692280529,0,0,0,0,0,3.08011966654,8.21978509787,0,0,0,0,0,0,3.66569224322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.112868991651,0,0,0,0,0,0,0,0,0,0,8.77261511605,0,0,0,0,0,0,0,0,0,1.04311451723495,0
"46","4-18-73-29-NW",0,17.7937356882314,5.12949773362,31.923065102263,0,0,0,1.49474693787,0,0,0,0,0,0,0.351898883063,0,0,0,0,0,0,0,0,0,1.0296260022664,4.83570273614,0,0,0,1.674823268655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0460908202264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2355856787767,0
"47","4-18-73-29-SE",0,17.922143952864,46.196991346749,1.11287175293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486403988881,0,0,0,0,0,0,0,0,0,0.000477471188899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542044904611,0,0,0,0,0,0,0,0,0,0,0.000477479847391,0,0,0,0,0,0,0,0,0,1.08341630457317,0
"48","4-18-73-29-SW",0,45.2621315677815,6.80899838481969,13.7436209723183,0,0,0,1.9459269705924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1778440328216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113430875843,0
"49","4-18-73-3-NW",0,0,0,0,0,0,0,0,0,0,0,0,5.897480175507,0,0.515276371489,4.0246519636,0,0,0,0,0,0,0,0,1.58304225015,0,4.117687971813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.427469125136,0,0,0.304560761592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262777418915,0
"50","4-18-73-3-SW",0,0,0,0,0,0,0,0,0,0,0.10896776417207,0,0.775416984041,0,0,0,0,0,0,0,0,0,0,0,1.425345312668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","4-18-73-30-NE",0,43.0660907066674,0.178961353615,7.051900898299,0,0,0,0,0,0,0,0.52730844432,0,0,0,1.47391563524,0,0,0,0,0,0,0,0,2.039116011878,0,0,0,0,1.1958843912,0.0148566116108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425401558667,0,0,0,0,0,0,0,0,1.08310619957,6.20211069655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481258927399,0
