"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"981","5-2-84-36-NE",0,0,10.379950654,0,0,0,0,17.268187709716,1.2528818637,0,0,0.698292562248,0,0,0,0,0.564735966252,0.630429467696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14958905959,0,0,0,0,10.323023734053,0.308221287665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548287502174,0,0
"982","5-2-84-36-NW",0,0,0,0.104954147412,0,0,0,7.74208575834479,0,0,0,1.99182632616,0,0,0,0,6.390428396381,0.9282690406404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571457476215,3.518227696825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830135368137405,0,0
"983","5-2-84-36-SE",0,0,0,0,0,0,0,18.1801204657714,3.2391633412894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494916632175,0,0
"984","5-2-84-36-SW",0,0,0,0,0,0,0,2.44759925553,0.840286134864,0,0,0,0,0,0,0,1.221230501025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11575383269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238359197778,0,0
"985","5-2-84-4-NE",0,0,11.349712162987,0,0,2.05355531672,11.3866903194,16.31227628946,1.64130846322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.119142934789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00699897868,0,0,0,0,0.326626949676,0,0
"986","5-2-84-4-NW",0,0,4.433904775553,0,0,0,10.604174046,12.2170983023047,0.148042882025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544034494436,24.2698117774778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7530908605082,0,0,0,0,0,0,0
"987","5-2-84-4-SE",0,0,3.556319827343,0,0,15.3234815979,24.04452326852,0.809244172911,6.27702778295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9895651508621,0,0,0,0,0.4304782253769,0,0.194043435821
"988","5-2-84-4-SW",0,0,0,0,0,0,47.144700779625,12.0798102880338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38986436705,4.0371796351841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29677329392,0,0
"989","5-2-84-5-NE",0,0,0.138343841338,0,0,0,0,14.042874058749,2.37469387545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4489263303561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972842629685,0,0,0,0,0,0,0.14000585034
"990","5-2-84-5-NW",0,0,1.92503641013,0,0,3.91442573661,0,10.412257606807,22.173877044511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.690161053865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3946650070857,0,0,0,0,0,0,0
"991","5-2-84-5-SE",0,0,0,0,0,0,2.310969525329,18.55529819975,4.92633414691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40135577739,27.8594631151998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035998127249,0,0,0,0,0.439617737857165,0,0
